Date mutation,Valeur fonciere,Code postal,Code departement,Code commune,Code type local,Surface reelle bati,Nombre pieces principales,Commune
07/01/2020,8000.0,1250,1,72,,,,CEYZERIAT
02/01/2020,2175.0,1290,1,203,,,,LAIZ
02/01/2020,2175.0,1290,1,203,,,,LAIZ
02/01/2020,2175.0,1290,1,203,,,,LAIZ
02/01/2020,2175.0,1290,1,203,,,,LAIZ
02/01/2020,2175.0,1290,1,203,,,,LAIZ
07/01/2020,75000.0,1960,1,289,,,,PERONNAS
07/01/2020,123.0,1370,1,426,,,,VAL-REVERMONT
07/01/2020,123.0,1370,1,426,,,,VAL-REVERMONT
09/01/2020,72000.0,1270,1,108,,,,COLIGNY
09/01/2020,72000.0,1270,1,108,,,,COLIGNY
09/01/2020,72000.0,1270,1,108,1,35,2,COLIGNY
10/01/2020,64000.0,1960,1,289,,,,PERONNAS
06/01/2020,180300.0,1000,1,53,1,75,4,BOURG-EN-BRESSE
06/01/2020,54800.0,1000,1,53,2,32,1,BOURG-EN-BRESSE
03/01/2020,350750.0,1000,1,344,,,,SAINT-DENIS-LES-BOURG
03/01/2020,350750.0,1000,1,344,1,201,7,SAINT-DENIS-LES-BOURG
03/01/2020,350750.0,1000,1,344,1,201,7,SAINT-DENIS-LES-BOURG
03/01/2020,350750.0,1000,1,344,3,0,0,SAINT-DENIS-LES-BOURG
03/01/2020,350750.0,1000,1,344,3,0,0,SAINT-DENIS-LES-BOURG
03/01/2020,350750.0,1000,1,344,,,,SAINT-DENIS-LES-BOURG
10/01/2020,1.0,1440,1,451,,,,VIRIAT
10/01/2020,53650.0,1270,1,108,2,50,2,COLIGNY
10/01/2020,53650.0,1270,1,108,2,45,2,COLIGNY
13/01/2020,97000.0,1000,1,53,2,92,3,BOURG-EN-BRESSE
09/01/2020,215000.0,1250,1,422,1,93,4,TOSSIAT
09/01/2020,215000.0,1250,1,422,,,,TOSSIAT
13/01/2020,179210.0,1310,1,264,1,90,5,MONTRACOL
13/01/2020,179210.0,1310,1,264,1,90,5,MONTRACOL
13/01/2020,179210.0,1310,1,264,1,90,5,MONTRACOL
13/01/2020,179210.0,1310,1,264,,,,MONTRACOL
13/01/2020,179210.0,1310,1,264,,,,MONTRACOL
13/01/2020,179210.0,1310,1,264,,,,MONTRACOL
09/01/2020,264450.0,1310,1,385,1,111,5,SAINT-REMY
07/01/2020,96000.0,1000,1,53,3,0,0,BOURG-EN-BRESSE
07/01/2020,96000.0,1000,1,53,2,74,3,BOURG-EN-BRESSE
08/01/2020,269000.0,1240,1,69,1,287,9,CERTINES
08/01/2020,269000.0,1240,1,69,,,,CERTINES
09/01/2020,65000.0,1960,1,336,,,,SAINT-ANDRE-SUR-VIEUX-JONC
09/01/2020,600.0,1000,1,344,,,,SAINT-DENIS-LES-BOURG
03/01/2020,11734.8,1440,1,451,,,,VIRIAT
03/01/2020,11734.8,1440,1,451,,,,VIRIAT
03/01/2020,11734.8,1440,1,451,,,,VIRIAT
03/01/2020,11734.8,1440,1,451,,,,VIRIAT
03/01/2020,11734.8,1440,1,451,,,,VIRIAT
03/01/2020,11734.8,1440,1,451,,,,VIRIAT
03/01/2020,11734.8,1440,1,451,,,,VIRIAT
09/01/2020,99000.0,1000,1,53,2,91,4,BOURG-EN-BRESSE
10/01/2020,235600.0,1370,1,241,1,97,4,MEILLONNAS
15/01/2020,6500.0,1190,1,94,,,,CHAVANNES-SUR-REYSSOUZE
15/01/2020,6500.0,1190,1,94,,,,CHAVANNES-SUR-REYSSOUZE
